Target,Meas. m/z,Ion Formula,err [ppm],rdb,I,Oil
C40H64S3,331.1549,C20H27S2,0,8,5627934,JH
C40H64S3,,C20H27S2,0,8,,JH
C40H64S3,415.2488,C26H39S2,0,8,13729889,JH
C40H64S3,,C26H39S2,0,8,,JH
C40H64S3,445.2052,C26H37S3,0,9,5980232,JH
C40H64S3,,C26H37S3,0,9,,JH
C40H64S3,455.2801,C29H43S2,0,9,5234734,JH
C40H64S3,,C29H43S2,0,9,,JH
C40H64S3,515.2835,C31H47S3,0,9,23101202,JH
C40H64S3,,C31H47S3,0,9,,JH
C40H64S3,529.2991,C32H49S3,0,9,2129652,JH
C40H64S3,,C32H49S3,0,9,,JH
C40H64S3,569.3304,C35H53S3,0,10,34144188,JH
C40H64S3,,C35H53S3,0,10,,JH
C40H64S3,597.3617,C37H57S3,-0.1,10,2392307,JH
C40H64S3,,C37H57S3,-0.1,10,,JH
C40H64S3,607.4365,C40H63S2,0.1,10,5488976,JH
C40H64S3,,C40H63S2,0.1,10,,JH
C40H64S3,625.393,C39H61S3,0,10,5235107,JH
C40H64S3,,C39H61S3,0,10,,JH
C40H64S3,640.4165,C40H64S3,0,9.5,40042860,JH
C40H64S3,,C40H64S3,0,9.5,,JH
C40H64S3,640.507,C42H72S2,0,7.5,2543981,JH
C40H64S3,,C42H72S2,0,7.5,,JH
C40H68S3,223.1515,C14H23S,-0.1,4,2167441,JH
C40H68S3,,C14H23S,-0.1,4,,JH
C40H68S3,335.1862,C20H31S2,0,6,4739021,JH
C40H68S3,,C20H31S2,0,6,,JH
C40H68S3,363.2174,C22H35S2,0.1,6,2041633,JH
C40H68S3,,C22H35S2,0.1,6,,JH
C40H68S3,391.2488,C24H39S2,0,6,4021995,JH
C40H68S3,,C24H39S2,0,6,,JH
C40H68S3,405.2644,C25H41S2,0,6,3841782,JH
C40H68S3,,C25H41S2,0,6,,JH
C40H68S3,407.2801,C25H43S2,-0.1,5,1933049,JH
C40H68S3,,C25H43S2,-0.1,5,,JH
C40H68S3,409.2958,C25H45S2,-0.1,4,3628795,JH
C40H68S3,,C25H45S2,-0.1,4,,JH
C40H68S3,417.2644,C26H41S2,0.1,7,1853189,JH
C40H68S3,,C26H41S2,0.1,7,,JH
C40H68S3,419.2801,C26H43S2,0,6,5586695,JH
C40H68S3,,C26H43S2,0,6,,JH
C40H68S3,421.2958,C26H45S2,-0.2,5,2127625,JH
C40H68S3,,C26H45S2,-0.2,5,,JH
C40H68S3,431.2801,C27H43S2,0,7,2563854,JH
C40H68S3,,C27H43S2,0,7,,JH
C40H68S3,433.2957,C27H45S2,0,6,4058893,JH
C40H68S3,,C27H45S2,0,6,,JH
C40H68S3,447.402,C30H55S,-0.2,4,1941241,JH
C40H68S3,,C30H55S,-0.2,4,,JH
C40H68S3,461.327,C29H49S2,0,6,8707772,JH
C40H68S3,,C29H49S2,0,6,,JH
C40H68S3,475.3427,C30H51S2,-0.1,6,3321419,JH
C40H68S3,,C30H51S2,-0.1,6,,JH
C40H68S3,487.3427,C31H51S2,0,7,2649551,JH
C40H68S3,,C31H51S2,0,7,,JH
C40H68S3,505.2991,C30H49S3,-0.1,7,3304724,JH
C40H68S3,,C30H49S3,-0.1,7,,JH
C40H68S3,519.3148,C31H51S3,0,7,6454437,JH
C40H68S3,,C31H51S3,0,7,,JH
C40H68S3,533.3304,C32H53S3,0,7,2157687,JH
C40H68S3,,C32H53S3,0,7,,JH
C40H68S3,573.3617,C35H57S3,0,8,33947200,JH
C40H68S3,,C35H57S3,0,8,,JH
C40H68S3,601.3928,C37H61S3,0.2,8,2625755,JH
C40H68S3,,C37H61S3,0.2,8,,JH
C40H68S3,611.4678,C40H67S2,0.1,8,18678198,JH
C40H68S3,,C40H67S2,0.1,8,,JH
C40H68S3,615.4992,C40H71S2,0,6,2212354,JH
C40H68S3,,C40H71S2,0,6,,JH
C40H68S3,629.4243,C39H65S3,0,8,7570115,JH
C40H68S3,,C39H65S3,0,8,,JH
C40H68S3,644.2633,C39H48S4,0.1,16.5,2237162,JH
C40H68S3,,C39H48S4,0.1,16.5,,JH
C40H68S3,644.3539,C41H56S3,0,14.5,5415657,JH
C40H68S3,,C41H56S3,0,14.5,,JH
C40H68S3,644.4478,C40H68S3,0,7.5,35455720,JH
C40H68S3,,C40H68S3,0,7.5,,JH
C40H68S3,644.5382,C42H76S2,0.1,5.5,3212008,JH
C40H68S3,,C42H76S2,0.1,5.5,,JH
C40H72S3,395.2801,C24H43S2,0,4,3240011,JH
C40H72S3,,C24H43S2,0,4,,JH
C40H72S3,409.2957,C25H45S2,0,4,3829907,JH
C40H72S3,,C25H45S2,0,4,,JH
C40H72S3,437.327,C27H49S2,0,4,3379481,JH
C40H72S3,,C27H49S2,0,4,,JH
C40H72S3,465.3583,C29H53S2,0,4,7594315,JH
C40H72S3,,C29H53S2,0,4,,JH
C40H72S3,479.374,C30H55S2,0,4,3637552,JH
C40H72S3,,C30H55S2,0,4,,JH
C40H72S3,491.374,C31H55S2,-0.1,5,3727621,JH
C40H72S3,,C31H55S2,-0.1,5,,JH
C40H72S3,537.3617,C32H57S3,0,5,3682410,JH
C40H72S3,,C32H57S3,0,5,,JH
C40H72S3,577.393,C35H61S3,0,6,2810117,JH
C40H72S3,,C35H61S3,0,6,,JH
C40H72S3,615.4991,C40H71S2,0.1,6,40829484,JH
C40H72S3,,C40H71S2,0.1,6,,JH
C40H72S3,648.2946,C39H52S4,0,14.5,3621470,JH
C40H72S3,,C39H52S4,0,14.5,,JH
C40H72S3,648.3852,C41H60S3,0,12.5,6890078,JH
C40H72S3,,C41H60S3,0,12.5,,JH
C40H72S3,648.4791,C40H72S3,0,5.5,15336029,JH
C40H72S3,,C40H72S3,0,5.5,,JH
C40H64S3,415.2487,C26H39S2,0.1,8,4530435,RP
C40H64S3,,C26H39S2,0.1,8,,RP
C40H64S3,445.2051,C26H37S3,0.2,9,2502919,RP
C40H64S3,,C26H37S3,0.2,9,,RP
C40H64S3,455.28,C29H43S2,0.1,9,2048242,RP
C40H64S3,,C29H43S2,0.1,9,,RP
C40H64S3,515.2835,C31H47S3,0,9,8437649,RP
C40H64S3,,C31H47S3,0,9,,RP
C40H64S3,569.3303,C35H53S3,0.1,10,18087486,RP
C40H64S3,,C35H53S3,0.1,10,,RP
C40H64S3,573.4521,C37H65S2,0.2,6,2293294,RP
C40H64S3,,C37H65S2,0.2,6,,RP
C40H64S3,607.4365,C40H63S2,0.2,10,4701697,RP
C40H64S3,,C40H63S2,0.2,10,,RP
C40H64S3,607.4399,C37H67S3,0.1,5,5471745,RP
C40H64S3,,C37H67S3,0.1,5,,RP
C40H64S3,625.3929,C39H61S3,0.1,10,4144682,RP
C40H64S3,,C39H61S3,0.1,10,,RP
C40H64S3,640.3259,C38H56S4,0.1,11.5,2428530,RP
C40H64S3,,C38H56S4,0.1,11.5,,RP
C40H64S3,640.4164,C40H64S3,0.1,9.5,20708978,RP
C40H64S3,,C40H64S3,0.1,9.5,,RP
C40H72S3,395.28,C24H43S2,0.1,4,2729465,RP
C40H72S3,,C24H43S2,0.1,4,,RP
C40H72S3,409.2957,C25H45S2,0.1,4,3534269,RP
C40H72S3,,C25H45S2,0.1,4,,RP
C40H72S3,437.3269,C27H49S2,0.2,4,3411383,RP
C40H72S3,,C27H49S2,0.2,4,,RP
C40H72S3,465.3583,C29H53S2,0.1,4,7396994,RP
C40H72S3,,C29H53S2,0.1,4,,RP
C40H72S3,479.3739,C30H55S2,0.1,4,4013889,RP
C40H72S3,,C30H55S2,0.1,4,,RP
C40H72S3,491.374,C31H55S2,-0.1,5,3461122,RP
C40H72S3,,C31H55S2,-0.1,5,,RP
C40H72S3,537.3617,C32H57S3,0.1,5,5096113,RP
C40H72S3,,C32H57S3,0.1,5,,RP
C40H72S3,577.393,C35H61S3,0,6,3117775,RP
C40H72S3,,C35H61S3,0,6,,RP
C40H72S3,615.4991,C40H71S2,0.1,6,41091256,RP
C40H72S3,,C40H71S2,0.1,6,,RP
C40H72S3,615.5895,C42H79S,0.4,4,2330806,RP
C40H72S3,,C42H79S,0.4,4,,RP
C40H72S3,633.4554,C39H69S3,0.3,6,2269014,RP
C40H72S3,,C39H69S3,0.3,6,,RP
C40H72S3,648.2946,C39H52S4,0.1,14.5,6159907,RP
C40H72S3,,C39H52S4,0.1,14.5,,RP
C40H72S3,648.3852,C41H60S3,0,12.5,9223713,RP
C40H72S3,,C41H60S3,0,12.5,,RP
C40H72S3,648.4791,C40H72S3,0,5.5,21593632,RP
C40H72S3,,C40H72S3,0,5.5,,RP
